image_file,augmentation,face_aspect_ratio,eye_aspect_ratio
smiling.jpg,original,1.0337078651685394,0.32674688853613104
smiling_rotated.jpg,rotated,1.0,0.3333097165938149
smiling_flipped.jpg,flipped,1.0280898876404494,0.3165686396554811
smiling_grayscale.jpg,grayscale,1.025,0.3362723486486739
smiling_noisy.jpg,noisy,1.0164835164835164,0.3332373162680391
neutral.jpg,original,0.9739130434782609,0.3252342680307727
neutral_rotated.jpg,rotated,0.9655172413793104,0.2990894990231632
neutral_flipped.jpg,flipped,0.9655172413793104,0.31535299873658207
neutral_grayscale.jpg,grayscale,0.9739130434782609,0.31273991671564316
neutral_noisy.jpg,noisy,0.9565217391304348,0.306714869313475
surprised.jpg,original,0.9536082474226805,0.5022565061090226
surprised_rotated.jpg,rotated,0.9307359307359307,0.36775367585555463
surprised_flipped.jpg,flipped,0.9427083333333334,0.44561902620197247
surprised_grayscale.jpg,grayscale,0.9301075268817204,0.4942516142830838
surprised_noisy.jpg,noisy,0.9427083333333334,0.485183720286667
