mfcc_mean_0,mfcc_std_0,mfcc_max_0,mfcc_min_0,mfcc_mean_1,mfcc_std_1,mfcc_max_1,mfcc_min_1,mfcc_mean_2,mfcc_std_2,mfcc_max_2,mfcc_min_2,mfcc_mean_3,mfcc_std_3,mfcc_max_3,mfcc_min_3,mfcc_mean_4,mfcc_std_4,mfcc_max_4,mfcc_min_4,mfcc_mean_5,mfcc_std_5,mfcc_max_5,mfcc_min_5,mfcc_mean_6,mfcc_std_6,mfcc_max_6,mfcc_min_6,mfcc_mean_7,mfcc_std_7,mfcc_max_7,mfcc_min_7,mfcc_mean_8,mfcc_std_8,mfcc_max_8,mfcc_min_8,mfcc_mean_9,mfcc_std_9,mfcc_max_9,mfcc_min_9,mfcc_mean_10,mfcc_std_10,mfcc_max_10,mfcc_min_10,mfcc_mean_11,mfcc_std_11,mfcc_max_11,mfcc_min_11,mfcc_mean_12,mfcc_std_12,mfcc_max_12,mfcc_min_12,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,chroma_mean_0,chroma_std_0,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,zcr_mean,zcr_std,rms_energy_mean,rms_energy_std,rms_energy_max,duration,sample_rate,max_amplitude,mean_amplitude,speaker,audio_name,augmentation,audio_path,file_id
-215.16963,28.524113,-143.2506,-288.57864,21.22714,24.823359,88.34953,-41.74198,10.473468,11.334255,42.972378,-6.599695,9.289609,14.058653,54.287712,-26.78416,-1.0159452,9.092132,20.358688,-30.679642,0.22273502,8.183116,26.327427,-21.093441,-4.3200207,8.821479,18.242592,-27.79028,-7.670374,9.927808,7.2064734,-33.343044,-5.189721,7.6164784,10.594065,-27.654047,-3.7920482,7.0887556,12.398186,-26.574251,-3.5439272,6.7743187,12.483664,-19.958897,-4.8895273,6.366831,11.727879,-18.719002,-3.6713595,5.9836774,10.418195,-23.516642,4300.094991857415,1107.5915106212265,8367.643229166666,996.1268671717982,3226.9985964924563,208.1719953281289,0.48711905,0.37087277,0.4767976,0.37154597,0.47482696,0.37814444,0.4950882,0.38847286,0.49391484,0.39374605,0.4510332,0.34206003,0.44737718,0.3500362,0.46074274,0.36873084,0.42882666,0.3460237,0.43517578,0.35503274,0.4589195,0.36434537,0.45221058,0.35181037,0.2846385814525463,0.17701062167468193,0.04513202,0.037727747,0.15328553,5.0,22050,0.30529785,0.035424832,unknown,unknown_2_84-121550-0025.flac,noise_high,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-380.39264,97.72803,-258.07736,-574.6247,89.75182,35.664463,176.46298,-12.731139,-10.668457,23.991243,42.333637,-56.40341,46.472336,30.995052,112.449066,-6.4577427,-20.156271,25.37167,39.8879,-68.747375,13.706904,19.525763,61.864235,-27.594788,-15.640972,19.989613,21.61101,-63.50148,-11.960508,13.538975,22.319986,-43.146023,-9.812838,12.952345,17.177078,-44.517433,-2.778665,11.854148,26.801952,-27.389595,-5.2409434,10.834692,22.86869,-39.72722,-7.6463804,11.287096,14.076752,-40.879055,-0.16991241,8.997932,19.767887,-27.236965,1896.5489780173548,889.6833257854914,3900.9989420572915,1335.671333172128,1849.9768267594268,346.24398029320395,0.35105088,0.34505424,0.33700752,0.35773003,0.32495186,0.3394322,0.29556137,0.3099867,0.30808645,0.32703653,0.33099926,0.31917575,0.39128405,0.3734483,0.35742843,0.34935805,0.27608156,0.27701163,0.32725963,0.35001796,0.3371092,0.350437,0.31871083,0.32247978,0.09388111255787036,0.07569784434286614,0.033863172,0.028787164,0.11722832,5.0,22050,0.23492432,0.026995182,unknown,unknown_2_84-121550-0025.flac,speed_0.9,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-396.40704,113.31385,-250.16725,-627.07697,83.019775,41.36189,167.83258,-3.5941305,-8.97762,22.641182,34.816612,-53.68844,42.94539,31.000164,111.91972,-11.6349125,-19.407368,24.879622,30.540916,-69.8665,12.458056,18.123024,59.336597,-24.791458,-14.29141,19.748384,22.277788,-63.65707,-10.860977,12.749152,18.538494,-41.97391,-8.289873,12.954412,15.563908,-40.004055,-2.5109599,11.28642,20.713428,-34.774162,-4.7166777,10.065108,17.312872,-38.020523,-7.211232,10.724608,11.360317,-32.738472,-0.76547164,8.599905,17.683933,-28.228031,1954.2935293972735,970.0273428623649,4030.718994140625,1654.9547047567128,1873.2070458682774,540.4979772034928,0.37275898,0.34550828,0.36370465,0.36364755,0.35616866,0.35758927,0.33293715,0.3207874,0.35091582,0.34884015,0.32704973,0.31876695,0.3509523,0.3544658,0.30452567,0.31244484,0.27210847,0.2677476,0.30937457,0.34004885,0.3166206,0.33564693,0.3420794,0.34295097,0.09330656090561225,0.06947345345102415,0.028632563,0.02805516,0.122414865,4.545442176870749,22050,0.25497437,0.022245608,unknown,unknown_2_84-121550-0025.flac,speed_1.1,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-405.69803,111.34606,-264.18652,-634.53357,92.462715,43.655186,180.69757,0.0,-16.474016,24.972841,37.309273,-58.14714,48.757614,32.946648,126.41414,-4.526598,-13.461937,26.692215,46.248077,-73.68777,10.624238,17.331945,60.560993,-26.420837,-2.6666164,14.103766,29.020813,-45.449535,-13.468506,12.8075695,17.055353,-47.572052,-6.7643013,11.536647,23.069065,-41.98296,-8.280984,11.903721,19.939913,-31.493252,0.7959072,9.621987,23.32013,-24.191196,-10.171752,13.474129,20.541012,-43.40886,-0.614976,7.708514,15.294825,-20.610744,1773.7096899591425,920.8661189728435,3635.4227701822915,1565.4429704101676,1696.1443978999926,518.1157203760416,0.32936302,0.31505948,0.32896507,0.32360464,0.33586103,0.31831262,0.33673206,0.33005077,0.34638378,0.3346247,0.3598907,0.35406616,0.2845799,0.29216346,0.27980348,0.29062027,0.30816838,0.3353739,0.32309014,0.33242947,0.3829944,0.3521211,0.38708165,0.37230173,0.08758318865740741,0.0682133674154495,0.028004201,0.02699534,0.09794217,5.0,22050,0.22332764,0.022222843,unknown,unknown_2_84-121550-0025.flac,pitch_shift_down,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-393.25613,117.910286,-239.6828,-623.6502,72.51725,40.36146,182.38907,-25.940489,-2.2769525,22.927086,43.82566,-57.42212,33.26109,28.597393,102.645004,-21.926949,-20.91948,22.236599,24.491653,-70.54115,10.876917,17.281439,58.407417,-25.566616,-21.680655,21.78992,16.892061,-76.68995,-5.8626337,13.761359,30.150877,-44.368553,-7.5362144,13.692109,23.742207,-40.592556,0.46587422,9.440294,22.46973,-32.156796,-9.608356,14.090472,20.159344,-51.064377,-1.726641,8.996473,15.713393,-31.552464,-5.864538,8.438231,16.198786,-30.05374,2193.7709076811016,1086.7601517808212,4501.9846598307295,1784.2855720090076,2066.461981078694,570.1500188413924,0.31142214,0.3381276,0.31909633,0.33801684,0.35692513,0.3491114,0.34833512,0.35796142,0.31977046,0.33627674,0.30604318,0.32034233,0.32414886,0.3511487,0.31870037,0.31766033,0.35928875,0.37272698,0.32518938,0.33627713,0.24445374,0.25946093,0.2799506,0.32028452,0.10645661530671297,0.08370026552147776,0.027452042,0.025897305,0.12829892,5.0,22050,0.2649536,0.02173808,unknown,unknown_2_84-121550-0025.flac,pitch_shift_up,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-401.05884,120.7078,-241.8442,-634.1868,84.90314,43.598335,192.5048,-22.503075,-11.247638,25.914797,56.745907,-63.40648,42.019947,33.210663,116.93237,-7.2613964,-17.12769,25.884804,42.501656,-72.42561,13.240877,19.510496,69.23224,-26.603539,-12.71342,18.626778,19.634842,-63.833054,-9.732151,13.64001,24.813038,-46.694687,-7.9882607,13.099385,22.8214,-45.000885,-1.4167658,11.036304,23.528088,-27.861849,-4.1435966,10.516755,26.27758,-37.73116,-5.9468327,11.4461975,14.446265,-34.903954,0.1599335,9.197665,19.17572,-26.888866,1852.1652976309686,1109.4426518109788,3689.95361328125,1714.4501203909165,1730.16783312956,587.2430445787612,0.3693814,0.35634607,0.3649658,0.3624845,0.34638324,0.35329515,0.34439406,0.33841375,0.34375253,0.34236646,0.3361164,0.32116222,0.3494471,0.33896312,0.34221435,0.34389246,0.27589485,0.27597788,0.30234733,0.32720473,0.35375977,0.3695647,0.33312052,0.32749322,0.0835887767650463,0.07326529596628216,0.03314523,0.032402866,0.12248481,5.0,22050,0.23138428,0.025502745,unknown,unknown_2_84-121550-0025.flac,volume_0.8,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0025.flac,102
-348.23132,95.03477,-214.05827,-633.7508,94.72568,41.08486,182.00098,-25.686949,-18.683138,25.401136,34.428146,-78.98797,54.18476,35.236965,120.16913,-8.178078,-23.944178,22.717052,26.67202,-75.31794,14.092093,22.249073,78.98163,-26.734112,-12.044028,20.911617,37.768723,-59.649426,-15.057027,17.560175,42.76426,-58.255615,-17.39465,12.6673975,15.262772,-51.055428,-0.781731,11.51666,28.899529,-27.164536,-6.5707874,11.803076,15.604923,-42.247173,-7.0539804,10.256581,12.873844,-34.36036,-2.6679456,8.959599,24.572449,-28.561451,1761.9798218858346,1007.5677724907997,3644.743855794271,1580.0334896841885,1715.7003657396644,460.49429675383607,0.16061705,0.26487905,0.108760774,0.1864115,0.11615438,0.1946048,0.14320588,0.22087008,0.19532989,0.30300963,0.23347442,0.3312675,0.26812822,0.34504285,0.32173696,0.37062237,0.35907686,0.35091624,0.45103166,0.37394702,0.43675843,0.39263642,0.25199035,0.29235548,0.0772705078125,0.08749978718908356,0.05141044,0.033995498,0.12843898,5.0,22050,0.28533936,0.041733816,unknown,unknown_3_84-121550-0026.flac,original,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0026.flac,103
-276.50345,46.476036,-184.87964,-391.03186,47.437626,32.359764,122.5715,-53.86398,8.447913,17.472713,41.258,-39.624123,23.661453,24.985752,80.997955,-23.483166,-3.3688493,15.57196,32.273273,-44.218132,-0.17288363,17.163166,54.536804,-44.118397,-4.1497636,14.94276,32.745956,-48.86435,-16.53047,14.1144495,26.14793,-47.97557,-11.660484,10.741199,20.081818,-39.51101,-5.052386,10.380567,23.957369,-30.496279,-5.9600973,8.946684,11.671312,-31.292282,-6.254364,8.370569,12.369606,-32.61979,-5.078823,6.6373425,17.347641,-23.311665,2940.9124596738575,1277.8692003526892,5987.5762939453125,1880.67165291366,2799.8095777086446,387.444507775373,0.27269006,0.33123705,0.18954459,0.28948465,0.16821386,0.275683,0.18790977,0.28900656,0.2217151,0.32141134,0.26266533,0.3676033,0.26051506,0.32821223,0.31711158,0.3633774,0.34845328,0.34563497,0.4122546,0.35720497,0.5026444,0.37965176,0.43774217,0.3832777,0.14581298828125,0.15567473947484858,0.05178327,0.033567403,0.12850362,5.0,22050,0.28640747,0.042114303,unknown,unknown_3_84-121550-0026.flac,noise_low,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0026.flac,103
-208.71368,25.147053,-143.98111,-282.08887,27.2943,21.346842,88.15958,-37.13414,11.806098,11.061271,35.21325,-19.571255,12.316313,14.558918,51.672478,-19.543877,0.43589634,9.538053,17.15871,-32.39839,-1.1378818,11.326971,35.30408,-36.633217,-4.645459,10.255455,18.582777,-35.785034,-10.838983,10.003207,17.266035,-35.143078,-8.738894,8.617896,12.2701235,-33.513847,-5.28339,7.864604,18.104668,-33.89402,-5.137539,7.0764027,12.5127125,-23.2704,-5.4912896,6.534631,15.674316,-26.146477,-4.309928,5.4451365,13.2993145,-19.180496,3926.186321089001,968.5628190817737,8150.5666097005205,879.3343741200421,3274.6358149949133,230.26070756338615,0.28620183,0.34232527,0.2155389,0.30285046,0.20892954,0.31141752,0.22914144,0.31589934,0.26030356,0.3482354,0.28006887,0.36335257,0.27987024,0.3314891,0.3427271,0.3707533,0.36909485,0.34032202,0.45233938,0.35944083,0.5423275,0.3799689,0.44109246,0.37032703,0.18896032262731483,0.16485242715824605,0.053517327,0.032064725,0.12867172,5.0,22050,0.287323,0.04370973,unknown,unknown_3_84-121550-0026.flac,noise_high,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0026.flac,103
-377.2944,88.43016,-261.95914,-642.696,91.89369,38.63239,173.89714,-28.17281,-14.91878,24.996397,34.523247,-74.23426,52.484665,35.28178,113.021194,-8.352999,-22.4453,21.551016,30.893562,-73.11092,9.884596,22.345457,75.67996,-29.942842,-11.858271,22.454168,38.517452,-55.86947,-16.8468,16.73413,33.51439,-54.853207,-17.65048,12.500935,14.226558,-46.889267,-3.0597885,11.08889,25.237904,-23.70602,-7.0748677,10.534409,14.254125,-35.531815,-6.939737,9.902335,11.684767,-31.523464,-2.659228,8.699093,24.538054,-29.503523,1824.3887222609849,927.0802786612967,3873.4344482421875,1459.2539049588129,1809.8493897625926,410.31588056354246,0.21769962,0.2836407,0.13059805,0.21473143,0.10232514,0.1753154,0.13616675,0.20822145,0.19462834,0.28517884,0.21579619,0.32334787,0.21977651,0.31134656,0.25901532,0.34879732,0.29128724,0.31741017,0.40312132,0.3519222,0.5219522,0.3791942,0.38499275,0.34950572,0.07779495804398148,0.08221481825194739,0.033884317,0.02478153,0.100773685,5.0,22050,0.24053955,0.027266035,unknown,unknown_3_84-121550-0026.flac,speed_0.9,Formative-2-Multimodal-Data-Preprocessing/data/audio_samples/unknown_speakers/84-121550-0026.flac,103
